-,Cond,Comm,Joint List,Balad-Ra'am,Hadash-Ta'al,Ta'al,Ra'am,Labor-Meretz,Democratic Union,Meretz,Barak,Labor,Huldai,Livni,Levy,Kachol Lavan,Yesh Atid,Gantz,Yisrael Beitenu,Sa'ar,Yamina,New Right,United Right List,Otzma,Shas,UTJ,Likud,Kahlon,Zehut,NEP,,,
2018-03-12,,,13,,,,,,,9,,11,,,,,24,,6,,11,,,,5,6,29,6,,,,,
2018-03-16,,,10,,,,,,,7,,10,,,,,20,,5,,8,,,,0,9,39,5,,,,,
2018-03-29,,,12,,,,,,,7,,13,,,5,,19,,5,,10,,,,5,7,30,7,,,,,
2018-04-03,,,13,,,,,,,7,,12,,,4,,21,,5,,10,,,,4,5,32,7,,,,,
2018-04-16,,,11,,,,,,,7,,10,,,5,,20,,5,,12,,,,5,7,29,9,,,,,
2018-04-23,,,12,,,,,,,6,,14,,,8,,20,,5,,10,,,,4,7,28,6,,,,,
2018-04-29,,,12,,,,,,,7,,11,,,4,,19,,6,,12,,,,5,8,29,7,,,,,
2018-05-01,,,12,,,,,,,7,,12,,,4,,19,,6,,10,,,,4,7,32,7,,,,,
2018-05-09,,,12,,,,,,,5,,14,,,5,,18,,6,,8,,,,4,7,35,6,,,,,
2018-05-09,,,12,,,,,,,,,10,,,,,18,,,,8,,,,5,9,42,,,,,,
2018-05-11,,,12,,,,,,,6,,10,,,6,,17,,6,,9,,,,4,7,36,7,,,,,
2018-06-01,,,12,,,,,,,6,,11,,,5,,17,,8,,9,,,,5,6,34,7,,,,,
2018-06-03,,,12,,,,,,,6,,10,,,6,,16,,6,,11,,,,5,8,34,6,,,,,
2018-06-08,,,12,,,,,,,7,,13,,,5,,18,,6,,11,,,,5,6,31,6,,,,,
2018-06-25,,,12,,,,,,,5,,15,,,5,,18,,6,,7,,,,6,7,32,7,,,,,
2018-07-08,,,12,,,,,,,7,,11,,,5,,17,,5,,10,,,,4,8,35,6,,,,,
2018-07-11,,,11,,,,,,,7,,11,,,6,,18,,6,,9,,,,4,8,33,7,,,,,
2018-07-12,,,11,,,,,,,5,,11,,,6,,20,,6,,10,,,,4,7,33,7,,,,,
2018-07-24,,,12,,,,,,,5,,15,,,5,,19,,7,,8,,,,5,7,30,7,,,,,
2018-07-30,,,11,,,,,,,5,,12,,,6,,19,,6,,10,,,,4,8,33,6,,,,,
2018-08-21,,,11,,,,,,,5,,12,,,5,,20,,6,,11,,,,4,7,33,6,,,,,
2018-09-05,,,11,,,,,,,5,,11,,,5,,18,,6,,11,,,,4,7,36,6,,,,,
2018-10-07,,,12,,,,,,,6,,12,,,6,,18,,5,,10,,,,5,7,32,7,,,,,
2018-10-11,,,13,,,,,,,7,,11,,,6,,15,,6,,12,,,,5,8,31,6,,,,,
2018-10-25,,,14,,,,,,,8,,12,,,5,,19,,5,,10,,,,4,6,30,7,,,,,
2018-11-15,,,12,,,,,,,6,,11,,,5,,18,,7,,11,,,,6,7,29,8,,,,,
2018-11-15,,,12,,,,,,,6,,11,,,6,,16,,8,,11,,,,5,8,29,8,,,,,
2018-11-16,,,11,,,,,,,6,,11,,,6,,17,,7,,12,,,,5,8,30,7,,,,,
2018-11-17,,,12,,,,,,,5,,12,,,6,,18,,6,,10,,,,7,6,30,8,,,,,
2018-11-19,,,14,,,,,,,7,,14,,,7,,17,,8,,9,,,,4,6,29,5,,,,,
2018-11-20,,,12,,,,,,,4,,12,,,6,,18,,8,,9,,,,6,7,30,8,,,,,
2018-11-21,,,13,,,,,,,6,,12,,,5,,17,,6,,13,,,,4,8,30,6,,,,,
2018-12-16,,,12,,,,,,,4,,10,,,5,,13,16,6,,9,,,,5,7,28,5,,,,,
2018-12-25,Panels,Maariv,11,,,,,,,6,,9,,,6,,12,13,5,,11,,,,4,7,30,6,0,,,,
2018-12-25,Panels,Walla,11,,,,,,,6,,9,,,5,,12,14,5,,11,,,,4,7,31,5,0,,,,
2018-12-25,Midgam,Ch13,12,,,,,,,5,,11,,,4,,11,16,6,,9,,,,5,7,29,5,0,,,,
2018-12-27,Panels,Ch12,11,,,,,,,5,,9,,,5,,15,13,4,,11,,,,4,7,31,5,0,,,,
2018-12-27,Maagar,HaYom,12,,,,,,,5,,7,,,6,,11,15,4,,11,,,,4,7,31,5,0,,,,
2018-12-30,Direct,Makor Rishon,12,,,,,,,5,,9,,,4,,10,15,5,,,14,5,,5,7,25,4,0,,,,
2018-12-30,Panels,Walla,13,,,,,,,6,,9,,,4,,15,11,4,,,10,4,,4,7,28,5,0,,,,
2018-12-30,Midgam,Ch13,12,,,,,,,6,,9,,,5,,12,14,5,,,6,4,,6,7,28,6,0,,,,
2018-12-30,PaPrMid,Ch10,13,,,,,,,5,,8,,,5,,11,14,5,,,8,3,,5,7,30,6,0,,,,
2018-12-30,??,??,12,,,,,,,6,,9,,,5,,16,13,3,,,14,3,,4,7,27,7,0,,,,
2019-01-02,Midgam,Ch13,12,,,,,,,5,,8,,5,5,,10,12,5,,,6,4,,5,7,31,5,0.5,,,,
2019-01-02,TNS,Ch11,12,,,,,,,6,,7,,2.4,6,,13,14,5,,,9,2.4,,6,7,28,7,0.2,,,,
2019-01-03,Maagar,HaYom,9,,,,,,,6,,7,,4,5,,13,13,4,,,8,4,,3,6,28,6,2,,,,
2019-01-03,Smith,JPost,12,,,,,,,6,,9,,2,5,,11,14,5,,,9,2,,6,7,30,6,,,,,
2019-01-04,Direct,Makor Rishon,12,,,,,,,5,,10,,2,4,,17,12,4,,,10,5,,5,6,26,4,,,,,
2019-01-04,Panels,Walla,13,,,,,,,5,,8,,3.2,4,,12,12,4,,,11,4,,5,7,30,5,,,,,
2019-01-04,Maagar,103FM,10,,,,,,,6,,7,,4,5,,13,12,5,,,8,2,,4,7,29,6,1,,,,
2019-01-08,Panels,Walla,12,,,,,,,5,,8,,3.5,4,,13,12,4,,,8,5,,5,7,32,5,1,,,,
2019-01-16,TNS,Ch11,12,,,,,,,5,,7,,4,6,,10,13,4,,,7,4,,5,6,31,6,0.5,,,,
2019-01-16,Midgam,Ch12,6,,,6,,,,5,,9,,,4,,14,13,6,,,8,0,,6,7,32,4,,,,,
2019-01-17,Panels,Walla,10,,,,,,,5,,8,,2,4,,15,12,4,,,9,4,,4,7,33,5,1,,,,
