市区町村,候補者１,候補者１確計,候補者２,候補者２確計,候補者３,候補者３確計,候補者４,候補者４確計,候補者５,候補者５確計,候補者６,候補者６確計,候補者７,候補者７確計,候補者８,候補者８確計,候補者９,候補者９確計,候補者１０,候補者１０確計,候補者１１,候補者１１確計,候補者１２,候補者１２確計,候補者１３,候補者１３確計,候補者１４,候補者１４確計,候補者１５,候補者１５確計,候補者１６,候補者１６確計,候補者１７,候補者１７確計,候補者１８,候補者１８確計,定数,合計,残票数,開票率,確定時刻,法定得票数,供託物没収点
板橋区,宮瀬　英治／民進党,28003.00,くまき　美奈子／無所属,6283.00,安原　ひろし／幸福実現党,983,たちばな　正剛／公明党,38351.00,河野　ゆうき／自由民主党,23383.00,木下　ふみこ／都民ファーストの会,39230.00,平　けいしょう／都民ファーストの会,36732.00,松田　やすまさ／自由民主党,27521.00,とくとめ　道信／日本共産党,31396.00,佐上　彰浩／無所属,823,,,,,,,,,,,,,,,,,5,232705.00,0,100,23:32,11635.25,4654.10
練馬区,渋谷　誠／環境党,1274.00,あさの　克彦／民進党,13442.00,藤井　とものり／民進党,29339.00,とや　英津子／日本共産党,34238.00,小林　けんじ／公明党,43577.00,やまか　あけみ／自由民主党,27098.00,しばざき　幹男／自由民主党,32624.00,きくち　やすえ／東京・生活者ネットワーク,15931.00,おじま　絋平／都民ファーストの会,53780.00,村松　一希／都民ファーストの会,53948.00,,,,,,,,,,,,,,,,,6,305251.00,0,100,0:26,12718.79,5087.52
足立区,鈴木　かつひろ／日本維新の会,9208.00,銀川　ゆい子／民進党,15908.00,ばば　信男／都民ファーストの会,35961.00,ほっち　易隆／自由民主党,26310.00,中山　信行／公明党,33440.00,後藤　なみ／都民ファーストの会,46263.00,斉藤　まりこ／日本共産党,37285.00,うすい　浩一／公明党,36494.00,髙島　なおき／自由民主党,36828.00,,,,,,,,,,,,,,,,,,,6,277697.00,0,100,23:54,11570.71,4628.28
葛飾区,米山　真吾／民進党,14695.00,のがみ　純子／公明党,37669.00,谷野　せいしろう／区民ファーストの会,5351.00,米川　大二郎／都民ファーストの会,51241.00,いずみ　武彦／自由民主党,20078.45,舟坂　ちかお／自由民主党,22120.00,和泉　なおみ／日本共産党,27060.55,立花　孝志／ＮＨＫから国民を守る党,4463.00,,,,,,,,,,,,,,,,,,,,,4,182678.00,0,100,0:39,11417.38,4566.95
江戸川区,田の上　いくこ／都民ファーストの会,54587.00,たじま　和明／自由民主党,26094.00,上田　令子／都民ファーストの会,50723.00,上野　和彦／公明党,50778.00,河野　ゆりえ／日本共産党,36652.00,宇田川　さとし／自由民主党,38854.00,,,,,,,,,,,,,,,,,,,,,,,,,5,257688.00,0,100,0:02,12884.40,5153.76
八王子市,滝田　やすひこ／都民ファーストの会,39275.00,清水　ひで子／日本共産党,31935.00,もろずみ　みのる／都民ファーストの会,41541.00,安藤　おさみ／民進党,21446.00,伊藤　しょうこう／自由民主党,26519.00,滝沢　景一／無所属,6947.00,東村　くにひろ／公明党,48016.00,鈴木　レオ／自由民主党,22239.00,岡村　みきお／日本第一党,2597.00,,,,,,,,,,,,,,,,,,,5,240515.00,0,100,22:53,12025.75,4810.30
立川市,酒井　大史／無所属,16257.00,増田　いちろう／都民ファーストの会,24912.00,清水　こうじ／自由民主党,16946.00,浅川　修一／日本共産党,12690.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,70805.00,0,100,22:58,8850.63,3540.25
武蔵野市,島崎　よしじ／自由民主党,14443.00,鈴木　くにかず／都民ファーストの会,27515.00,松下　玲子／民進党,22493.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,64451.00,0,100,23:10,16112.75,6445.10
三鷹市,中村　ひろし／民進党,21094.15,加藤　こうじ／自由民主党,18223.00,むろ　喜代一／日本共産党,8803.00,山田　ひろし／都民ファーストの会,30356.85,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,78477.00,0,100,22:34,9809.63,3923.85
青梅市,つるた　一忠／無所属,5433.00,森村　たかゆき／都民ファーストの会,31603.00,野村　有信／自由民主党,19948.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,56984.00,0,100,22:55,14246.00,5698.40
府中市,鈴木　きんじ／自由民主党,24959.00,からさわ　地平／日本共産党,13502.00,藤井　あきら／都民ファーストの会,27697.00,小山　くにひこ／都民ファーストの会,38381.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,104539.00,0,100,22:04,13067.38,5226.95
昭島市,中村　たけし／自由民主党,12544.00,内山　真吾／都民ファーストの会,24639.00,奥村　ひろし／日本共産党,5897.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,43080.00,0,100,22:50,10770.00,4308.00
